date,cases,deaths,cum_cases,cum_deaths,mortality
10/22/2020,58741,791,8344865,225525,0.013465893
10/23/2020,68657,1059,8413522,226584,0.015424502
10/24/2020,74903,916,8488425,227500,0.01222915
10/25/2020,82340,919,8570765,228419,0.01116104
10/26/2020,76181,836,8646946,229255,0.010973865
10/27/2020,65610,601,8712556,229856,0.009160189
10/28/2020,69584,682,8782140,230538,0.009801104
10/29/2020,74961,896,8857101,231434,0.011952882
10/30/2020,84410,1063,8941511,232497,0.012593295
10/31/2020,91130,1110,9032641,233607,0.012180402
11/1/2020,97518,908,9130159,234515,0.009311102
11/2/2020,92783,942,9222942,235457,0.010152722
11/3/2020,141582,708,9364524,236165,0.005000636
11/4/2020,87188,738,9451712,236903,0.008464468
11/5/2020,98499,1031,9550211,237934,0.010467111
11/6/2020,113875,1298,9664086,239232,0.011398463
11/7/2020,122830,1227,9786916,240459,0.009989416
11/8/2020,133337,1260,9920253,241719,0.00944974
11/9/2020,129810,1095,10050063,242814,0.008435406
11/10/2020,111648,882,10161711,243696,0.007899828
11/11/2020,124487,930,10286198,244626,0.00747066
11/12/2020,145951,1674,10432149,246300,0.011469603
11/13/2020,153660,1518,10585809,247818,0.009878954
11/14/2020,162300,1347,10748109,249165,0.008299445
11/15/2020,176989,1271,10925098,250436,0.007181237
11/16/2020,164239,1472,11089337,251908,0.008962548
11/17/2020,137564,1027,11226901,252935,0.007465616
11/18/2020,153374,1018,11380275,253953,0.00663737
11/19/2020,167352,1591,11547627,255544,0.009506908
11/20/2020,170904,1833,11718531,257377,0.010725319
11/21/2020,188681,1920,11907212,259297,0.010175905
11/22/2020,193369,1959,12100581,261256,0.01013089
11/23/2020,173861,1724,12274442,262980,0.009915967
11/24/2020,149783,1303,12424225,264283,0.008699252
11/25/2020,160411,1413,12584636,265696,0.008808623
11/26/2020,175183,1889,12759819,267585,0.01078301
11/27/2020,194100,2289,12953919,269874,0.01179289
11/28/2020,145029,1674,13098948,271548,0.011542519
11/29/2020,164034,1658,13262982,273206,0.010107661
11/30/2020,144575,1506,13407557,274712,0.010416739
12/1/2020,141072,1281,13548629,275993,0.00908047
12/2/2020,151905,1546,13700534,277539,0.010177414
12/3/2020,192718,2379,13893252,279918,0.012344462
12/4/2020,210074,2756,14103326,282674,0.013119187
12/5/2020,216782,2740,14320108,285414,0.012639426
12/6/2020,223806,2593,14543914,288007,0.011585927
12/7/2020,205575,2376,14749489,290383,0.011557826
12/8/2020,176909,1588,14926398,291971,0.008976366
12/9/2020,183091,1973,15109489,293944,0.010776062
12/10/2020,226982,2561,15336471,296505,0.011282833
12/11/2020,221251,3323,15557722,299828,0.015019141
12/12/2020,208835,2705,15766557,302533,0.01295281
12/13/2020,245839,3188,16012396,305721,0.012967837
12/14/2020,217153,2440,16229549,308161,0.011236317
12/15/2020,181275,2037,16410824,310198,0.011237071
12/16/2020,198204,1955,16609028,312153,0.009863575
12/17/2020,198650,2758,16807678,314911,0.013883715
12/18/2020,240266,3389,17047944,318300,0.0141052
12/19/2020,246505,3338,17294449,321638,0.013541307
12/20/2020,235875,2949,17530324,324587,0.012502385
12/21/2020,202289,2727,17732613,327314,0.013480713
12/22/2020,186429,2090,17919042,329404,0.011210702
12/23/2020,183553,2129,18102595,331533,0.01159883
12/24/2020,197759,2891,18300354,334424,0.014618804
12/25/2020,226200,3238,18526554,337662,0.014314766
12/26/2020,202550,3021,18729104,340683,0.014914836
12/27/2020,161342,2237,18890446,342920,0.013864958
12/28/2020,147119,1650,19037565,344570,0.011215411
12/29/2020,154342,1903,19191907,346473,0.012329761
12/30/2020,176774,2180,19368681,348653,0.01233213
12/31/2020,208904,3351,19577585,352004,0.016040861
1/1/2021,235818,3763,19813403,355767,0.015957221
1/2/2021,229492,3754,20042895,359521,0.016357869
1/3/2021,228546,3049,20271441,362570,0.013340859
1/4/2021,225318,2384,20496759,364954,0.010580602
1/5/2021,205458,2044,20702217,366998,0.009948505
1/6/2021,174314,2029,20876531,369027,0.011639914
1/7/2021,242441,3496,21118972,372523,0.014420003
1/8/2021,257750,3855,21376722,376378,0.014956353
1/9/2021,269765,3978,21646487,380356,0.014746168
1/10/2021,292105,3711,21938592,384067,0.012704336
1/11/2021,256294,3411,22194886,387478,0.013308934
1/12/2021,224484,2555,22419370,390033,0.011381657
